batch_id,repository,relative_path,byte_size,modified_time_utc,sha256,reason_superseded,replacement_logical_artifact,planned_zip_filename,planned_member_path,selection_evidence
INIT-CACHE-PKL-001,leap_initialisation,outputs/leap_exports/supply_reconciliation/baseline_seed/supporting_files/runtime/balance_demand_cache/6f8eebb6c0f9e63c.pkl,529390059,2026-07-13T14:43:20.006597+00:00,001efdad5a7a2f5090c0dcbb625f4dae33433eddb0a5fd5705f7defe89cb6c4c,The production cache producer and consumer now use a versioned checksummed Parquet/Zstandard bundle and no code path reads pickle.,outputs/leap_exports/supply_reconciliation/baseline_seed/supporting_files/runtime/balance_demand_cache/*.parquet_cache (runtime-keyed and regenerated on demand),runtime_pickle_caches_001.zip,outputs/leap_exports/supply_reconciliation/baseline_seed/supporting_files/runtime/balance_demand_cache/6f8eebb6c0f9e63c.pkl,"Explicit shared runtime cache root; .pkl suffix; historical runs/** paths excluded by construction; the live producer and consumer use typed Parquet bundles and no live code reads pickle. The current cache key is recalculated from runtime inputs, so an obsolete pickle key is not represented as a same-key replacement."
INIT-CACHE-PKL-001,leap_initialisation,outputs/leap_exports/supply_reconciliation/baseline_seed/supporting_files/runtime/balance_demand_cache/987f7876f1c44bf9.pkl,49348640,2026-07-13T08:32:41.413640+00:00,deb02ccb7911a5ec5409630d9164608ee734dfa4dac6e2eeefe5b722fde1c9f3,The production cache producer and consumer now use a versioned checksummed Parquet/Zstandard bundle and no code path reads pickle.,outputs/leap_exports/supply_reconciliation/baseline_seed/supporting_files/runtime/balance_demand_cache/*.parquet_cache (runtime-keyed and regenerated on demand),runtime_pickle_caches_001.zip,outputs/leap_exports/supply_reconciliation/baseline_seed/supporting_files/runtime/balance_demand_cache/987f7876f1c44bf9.pkl,"Explicit shared runtime cache root; .pkl suffix; historical runs/** paths excluded by construction; the live producer and consumer use typed Parquet bundles and no live code reads pickle. The current cache key is recalculated from runtime inputs, so an obsolete pickle key is not represented as a same-key replacement."
INIT-CACHE-PKL-001,leap_initialisation,outputs/leap_exports/supply_reconciliation/baseline_seed/supporting_files/runtime/transform_supply_cache/03f12ef269efbd95.pkl,350118054,2026-07-13T08:42:43.729274+00:00,5453acaf00828b6dac903769d3ba1d95c22bf315a783effc427d7fcaa528b6c0,The production cache producer and consumer now use a versioned checksummed Parquet/Zstandard bundle and no code path reads pickle.,outputs/leap_exports/supply_reconciliation/baseline_seed/supporting_files/runtime/transform_supply_cache/*.parquet_cache (runtime-keyed and regenerated on demand),runtime_pickle_caches_001.zip,outputs/leap_exports/supply_reconciliation/baseline_seed/supporting_files/runtime/transform_supply_cache/03f12ef269efbd95.pkl,"Explicit shared runtime cache root; .pkl suffix; historical runs/** paths excluded by construction; the live producer and consumer use typed Parquet bundles and no live code reads pickle. The current cache key is recalculated from runtime inputs, so an obsolete pickle key is not represented as a same-key replacement."
INIT-CACHE-PKL-001,leap_initialisation,outputs/leap_exports/supply_reconciliation/baseline_seed/supporting_files/runtime/transform_supply_cache/a09b049605a08e17.pkl,365012781,2026-07-13T15:58:23.493592+00:00,722d40d5f375366c17299d478bc7500469522c2cd349f025c04c4330b3df2f03,The production cache producer and consumer now use a versioned checksummed Parquet/Zstandard bundle and no code path reads pickle.,outputs/leap_exports/supply_reconciliation/baseline_seed/supporting_files/runtime/transform_supply_cache/*.parquet_cache (runtime-keyed and regenerated on demand),runtime_pickle_caches_001.zip,outputs/leap_exports/supply_reconciliation/baseline_seed/supporting_files/runtime/transform_supply_cache/a09b049605a08e17.pkl,"Explicit shared runtime cache root; .pkl suffix; historical runs/** paths excluded by construction; the live producer and consumer use typed Parquet bundles and no live code reads pickle. The current cache key is recalculated from runtime inputs, so an obsolete pickle key is not represented as a same-key replacement."
INIT-CACHE-PKL-001,leap_initialisation,outputs/leap_exports/supply_reconciliation/supporting_files/runtime/balance_demand_cache/02a0a839f4dad9eb.pkl,552743383,2026-06-30T14:57:48.485911+00:00,77280bfe205cd6744c2d3d468cccbb38f6d00f583bee4e9d8b49d0c94ac361cc,The production cache producer and consumer now use a versioned checksummed Parquet/Zstandard bundle and no code path reads pickle.,outputs/leap_exports/supply_reconciliation/supporting_files/runtime/balance_demand_cache/*.parquet_cache (runtime-keyed and regenerated on demand),runtime_pickle_caches_001.zip,outputs/leap_exports/supply_reconciliation/supporting_files/runtime/balance_demand_cache/02a0a839f4dad9eb.pkl,"Explicit shared runtime cache root; .pkl suffix; historical runs/** paths excluded by construction; the live producer and consumer use typed Parquet bundles and no live code reads pickle. The current cache key is recalculated from runtime inputs, so an obsolete pickle key is not represented as a same-key replacement."
INIT-CACHE-PKL-001,leap_initialisation,outputs/leap_exports/supply_reconciliation/supporting_files/runtime/balance_demand_cache/0925001cc6aef4e7.pkl,32318381,2026-07-13T03:23:23.973313+00:00,6a786838960858b5cc359535e2756872b5a7fb7e1154d98758009ed8e8fb1f42,The production cache producer and consumer now use a versioned checksummed Parquet/Zstandard bundle and no code path reads pickle.,outputs/leap_exports/supply_reconciliation/supporting_files/runtime/balance_demand_cache/*.parquet_cache (runtime-keyed and regenerated on demand),runtime_pickle_caches_001.zip,outputs/leap_exports/supply_reconciliation/supporting_files/runtime/balance_demand_cache/0925001cc6aef4e7.pkl,"Explicit shared runtime cache root; .pkl suffix; historical runs/** paths excluded by construction; the live producer and consumer use typed Parquet bundles and no live code reads pickle. The current cache key is recalculated from runtime inputs, so an obsolete pickle key is not represented as a same-key replacement."
INIT-CACHE-PKL-001,leap_initialisation,outputs/leap_exports/supply_reconciliation/supporting_files/runtime/balance_demand_cache/22462e8f8f955651.pkl,24417980,2026-07-10T07:25:23.767717+00:00,1df1eee998bd39bc0fd14992a31f4af32a4c2cc72c5c4729c0d21b977ddc71b1,The production cache producer and consumer now use a versioned checksummed Parquet/Zstandard bundle and no code path reads pickle.,outputs/leap_exports/supply_reconciliation/supporting_files/runtime/balance_demand_cache/*.parquet_cache (runtime-keyed and regenerated on demand),runtime_pickle_caches_001.zip,outputs/leap_exports/supply_reconciliation/supporting_files/runtime/balance_demand_cache/22462e8f8f955651.pkl,"Explicit shared runtime cache root; .pkl suffix; historical runs/** paths excluded by construction; the live producer and consumer use typed Parquet bundles and no live code reads pickle. The current cache key is recalculated from runtime inputs, so an obsolete pickle key is not represented as a same-key replacement."
INIT-CACHE-PKL-001,leap_initialisation,outputs/leap_exports/supply_reconciliation/supporting_files/runtime/balance_demand_cache/2e3021bc19265755.pkl,27245198,2026-07-10T14:54:33.884820+00:00,7ba8019d40af1f26ed2119fa712b7e452eef4a6b54f4422c7ed91aa4783d3058,The production cache producer and consumer now use a versioned checksummed Parquet/Zstandard bundle and no code path reads pickle.,outputs/leap_exports/supply_reconciliation/supporting_files/runtime/balance_demand_cache/*.parquet_cache (runtime-keyed and regenerated on demand),runtime_pickle_caches_001.zip,outputs/leap_exports/supply_reconciliation/supporting_files/runtime/balance_demand_cache/2e3021bc19265755.pkl,"Explicit shared runtime cache root; .pkl suffix; historical runs/** paths excluded by construction; the live producer and consumer use typed Parquet bundles and no live code reads pickle. The current cache key is recalculated from runtime inputs, so an obsolete pickle key is not represented as a same-key replacement."
INIT-CACHE-PKL-001,leap_initialisation,outputs/leap_exports/supply_reconciliation/supporting_files/runtime/balance_demand_cache/498c63b448da7f95.pkl,25338370,2026-07-08T04:12:13.889260+00:00,e05f44fc674dd76517cfe15ed2a74ba7702985718deb7a88bbd46678fa0eb652,The production cache producer and consumer now use a versioned checksummed Parquet/Zstandard bundle and no code path reads pickle.,outputs/leap_exports/supply_reconciliation/supporting_files/runtime/balance_demand_cache/*.parquet_cache (runtime-keyed and regenerated on demand),runtime_pickle_caches_001.zip,outputs/leap_exports/supply_reconciliation/supporting_files/runtime/balance_demand_cache/498c63b448da7f95.pkl,"Explicit shared runtime cache root; .pkl suffix; historical runs/** paths excluded by construction; the live producer and consumer use typed Parquet bundles and no live code reads pickle. The current cache key is recalculated from runtime inputs, so an obsolete pickle key is not represented as a same-key replacement."
INIT-CACHE-PKL-001,leap_initialisation,outputs/leap_exports/supply_reconciliation/supporting_files/runtime/balance_demand_cache/51a41ffe1cba4aed.pkl,84537,2026-07-01T10:52:18.141274+00:00,313980891f2ab1f5320ef81bc094afe4872666f7eb84e2b51df21db88438449f,The production cache producer and consumer now use a versioned checksummed Parquet/Zstandard bundle and no code path reads pickle.,outputs/leap_exports/supply_reconciliation/supporting_files/runtime/balance_demand_cache/*.parquet_cache (runtime-keyed and regenerated on demand),runtime_pickle_caches_001.zip,outputs/leap_exports/supply_reconciliation/supporting_files/runtime/balance_demand_cache/51a41ffe1cba4aed.pkl,"Explicit shared runtime cache root; .pkl suffix; historical runs/** paths excluded by construction; the live producer and consumer use typed Parquet bundles and no live code reads pickle. The current cache key is recalculated from runtime inputs, so an obsolete pickle key is not represented as a same-key replacement."
